SQL query:

select YEAR(date), AVG(value) as "avg unrate" from observations where series="UNRATE" and YEAR(date) >= 1980 and YEAR(date) <= 2015 group by YEAR(date) order by YEAR(date) asc;

Answer:

YEAR(date) avg unrate
1980	7.175000
1981	7.616667
1982	9.708333
1983	9.600000
1984	7.508333
1985	7.191667
1986	7.000000
1987	6.175000
1988	5.491667
1989	5.258333
1990	5.616667
1991	6.850000
1992	7.491667
1993	6.908333
1994	6.100000
1995	5.591667
1996	5.408333
1997	4.941667
1998	4.500000
1999	4.216667
2000	3.966667
2001	4.741667
2002	5.783333
2003	5.991667
2004	5.541667
2005	5.083333
2006	4.608333
2007	4.616667
2008	5.800000
2009	9.283333
2010	9.608333
2011	8.933333
2012	8.075000
2013	7.375000
2014	6.166667
2015	5.283333
